,chainId,blockNumber,blockHash,transactionIndex,hash,log_index,nonce,from,to,token,token_address,value,price,value_usd,gas,gasPrice,gasUsed,maxFeePerGas,maxPriorityFeePerGas,type,callType,traceAddress,subtraces,output,error,result,address,code,init,r,s,v,input
77,1,15951056,0xa971a9f9d03757fed8d7704ba47186cac78e15639b4bbf870639680fdf522dc7,131,0xe88ae11d0abac37d925649c6ae61c835ba25d9543de9694d096065b3d15a7925,,,0xb78994cb15815d77a0320dbe8196f113043e70d1,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,0.0069,1286.130000000000109139,8.874297000000000753,0.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x
81,1,15951068,,6,0x478a8329a18c6ebac971204fe7b8b077bb2f16d82aba452da60897b74efe3042,83.0,,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,0xbF9688e95023492019DaCAaeCd198E08639f77E5,BANKRUPT,0x771705b132A7c258dde71AD380058306C64Ef587,1000000000,0.000012072325300878,12072.325300878000000000,,,,,,,,,,,,,,,,,,,
85,1,15951072,,3,0xd4c5d7054a5c58370cec82b510ee9b0b6b631887bb97f17cec451d1dd948c352,13.0,,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,0x53222470CdcfB8081C0E3a50fd106f0D69e63F20,stETH,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,34740.082357919214526117,1268.347647589999951379,44062501.735749694462363509,,,,,,,,,,,,,,,,,,,
87,1,15951072,,3,0xd4c5d7054a5c58370cec82b510ee9b0b6b631887bb97f17cec451d1dd948c352,52.0,,0x1111111254fb6c44bAC0beD2854e76F90643097d,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,stETH,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,1E-18,1268.347647589999951379,1.268E-15,,,,,,,,,,,,,,,,,,,
92,1,15951072,0xa5cba5455b90f500e3574107504d740371e39f8debe71e6c0209fa542880be8d,3,0xd4c5d7054a5c58370cec82b510ee9b0b6b631887bb97f17cec451d1dd948c352,,,0x1111111254fb6c44bac0bed2854e76f90643097d,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,34343.585265399879056903,1279.329999999999927240,43936778.937584024775028451,2300.0,,0.0,,,call,call,[4],0.0,0x,,,,,,,,,0x
93,1,15951072,,143,0x8e098da849cfa3c4daaad824177d73bda94cfe95203e5734fa419b2ec1ea6632,329.0,,0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,14525589.730747,1.000000000000000000,14525589.730747000000000000,,,,,,,,,,,,,,,,,,,
95,1,15951072,,143,0x8e098da849cfa3c4daaad824177d73bda94cfe95203e5734fa419b2ec1ea6632,330.0,,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9,cUSDT,0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9,659475165.86438212,0.022025984423096199,14525589.730747662757120704,,,,,,,,,,,,,,,,,,,
100,1,15951076,,161,0xf9c75d05fa283051a3d60c3c68bd19b1181c722404a7e5f5945b58f524fb6d23,381.0,,0xEF924f6C601858ECabdbaAb50806132080c6A698,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,VB,0xd8ADb97480e8EE2A8E58dB53B6E485613cb7d131,2337,,,,,,,,,,,,,,,,,,,,,
102,1,15951085,0xa1ce86ecb2eb3761839c7f0c7e9a2e109ad9cf73b5dc96e11d1d3379ca581f82,185,0xe5e57c3eea1101e4fbfa0ac16b547e5006dcbc42534fdbda85be73978116ee17,,,0xfa67fc2901dd343d3324fc882fe7eb474354a6e2,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,0.0042,1279.329999999999927240,5.373185999999999694,0.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x
103,1,15951087,,142,0xa0d4c4a5cf295830dc4e42a473fab7b04bfa14a8f5b8027f29d640cbfdf98d7a,335.0,,0x331a7D64505ae3e081242A93cBbe5151350051AC,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,FSBF,0x3a95fFfEebDc113820e8B940254637c8477F59EF,1000,0.000017102460842910,0.017102460842910000,,,,,,,,,,,,,,,,,,,
